ticker,date_from,date_to,value_from,value_to,pct_change
SP500,2016-11-04 00:00:00,2016-11-07 00:00:00,2085.18,2131.52,2.2223501088635107
SP500,2017-05-16 00:00:00,2017-05-17 00:00:00,2400.67,2357.03,-1.8178258569482635
SP500,2017-08-16 00:00:00,2017-08-17 00:00:00,2468.11,2430.01,-1.5436913265616163
SP500,2018-02-01 00:00:00,2018-02-02 00:00:00,2821.98,2762.13,-2.1208513171602887
SP500,2018-02-02 00:00:00,2018-02-05 00:00:00,2762.13,2648.94,-4.097924427887175
SP500,2018-02-05 00:00:00,2018-02-06 00:00:00,2648.94,2695.14,1.7440938639606718
SP500,2018-02-07 00:00:00,2018-02-08 00:00:00,2681.66,2581.0,-3.7536451302551352
SP500,2018-02-22 00:00:00,2018-02-23 00:00:00,2703.96,2747.3,1.6028343614550564
SP500,2018-03-08 00:00:00,2018-03-09 00:00:00,2738.97,2786.57,1.7378795678667662
SP500,2018-03-21 00:00:00,2018-03-22 00:00:00,2711.93,2643.69,-2.516289137256485
SP500,2018-03-22 00:00:00,2018-03-23 00:00:00,2643.69,2588.26,-2.0966906104724776
SP500,2018-03-23 00:00:00,2018-03-26 00:00:00,2588.26,2658.55,2.7157240771792615
SP500,2018-03-26 00:00:00,2018-03-27 00:00:00,2658.55,2612.62,-1.7276334844182086
SP500,2018-03-29 00:00:00,2018-04-02 00:00:00,2640.87,2581.88,-2.2337335802216614
SP500,2018-04-05 00:00:00,2018-04-06 00:00:00,2662.84,2604.47,-2.1920205494885288
SP500,2018-04-09 00:00:00,2018-04-10 00:00:00,2613.16,2656.87,1.6726874741692064
SP500,2018-10-09 00:00:00,2018-10-10 00:00:00,2880.34,2785.68,-3.286417575702879
SP500,2018-10-10 00:00:00,2018-10-11 00:00:00,2785.68,2728.37,-2.0573073719881663
SP500,2018-10-15 00:00:00,2018-10-16 00:00:00,2750.79,2809.92,2.1495643069809076
SP500,2018-10-23 00:00:00,2018-10-24 00:00:00,2740.69,2656.1,-3.0864490329077765
SP500,2018-10-24 00:00:00,2018-10-25 00:00:00,2656.1,2705.57,1.8625051767629328
SP500,2018-10-25 00:00:00,2018-10-26 00:00:00,2705.57,2658.69,-1.7327217554896053
SP500,2018-10-29 00:00:00,2018-10-30 00:00:00,2641.25,2682.63,1.56668244202556
SP500,2018-11-06 00:00:00,2018-11-07 00:00:00,2755.45,2813.89,2.1208876952947815
SP500,2018-11-09 00:00:00,2018-11-12 00:00:00,2781.01,2726.22,-1.970147536326745
SP500,2018-11-16 00:00:00,2018-11-19 00:00:00,2736.27,2690.73,-1.6643094431470564
SP500,2018-11-19 00:00:00,2018-11-20 00:00:00,2690.73,2641.89,-1.8151208036480861
SP500,2018-11-23 00:00:00,2018-11-26 00:00:00,2632.56,2673.45,1.5532409517731742
SP500,2018-11-27 00:00:00,2018-11-28 00:00:00,2682.17,2743.79,2.297393528374409
SP500,2018-12-03 00:00:00,2018-12-04 00:00:00,2790.37,2700.06,-3.236488351007212
SP500,2018-12-06 00:00:00,2018-12-07 00:00:00,2695.95,2633.08,-2.332016543333515
SP500,2018-12-13 00:00:00,2018-12-14 00:00:00,2650.54,2599.95,-1.9086676677205454
SP500,2018-12-14 00:00:00,2018-12-17 00:00:00,2599.95,2545.94,-2.0773476413007854
SP500,2018-12-18 00:00:00,2018-12-19 00:00:00,2546.16,2506.96,-1.5395733182517917
SP500,2018-12-19 00:00:00,2018-12-20 00:00:00,2506.96,2467.42,-1.5772090500047853
SP500,2018-12-20 00:00:00,2018-12-21 00:00:00,2467.42,2416.62,-2.0588306814405404
SP500,2018-12-21 00:00:00,2018-12-24 00:00:00,2416.62,2351.1,-2.7112247684782873
SP500,2018-12-24 00:00:00,2018-12-26 00:00:00,2351.1,2467.7,4.959380715409805
